*** New Session***
31-7-2018 14:40:55
Product Name: Flow 30
81853265 : Rx: [10][19][87][4D][BE][0A][FF][34]
81853515 : Rx: [19][E0][2E][BC][90][55][20][33]
81853765 : Rx: [10][19][89][4E][2D][0B][FF][34]
81854015 : Rx: [19][E1][2F][11][91][55][20][33]
81854265 : Rx: [10][19][8B][50][BE][0A][FF][34]
81854515 : Rx: [19][E2][2C][66][91][55][20][33]
81854765 : Rx fail
81855015 : Rx: [10][19][8D][51][D9][0A][FF][34]
81855265 : Rx: [10][19][8F][53][64][0B][FF][34]
81855515 : Rx: [19][E4][2E][12][92][57][20][33]
81855765 : Rx: [10][19][91][54][9C][0B][FF][34]
81856015 : Rx: [19][E5][30][69][92][57][20][33]
81856265 : Rx fail
81856515 : Rx: [19][E6][32][C0][92][57][20][33]
81856765 : Rx: [10][19][95][57][D3][0B][FF][34]
81857015 : Rx: [19][E7][31][17][93][57][20][33]
81857265 : Rx: [10][19][97][59][EF][0B][FF][34]
81857515 : Rx: [19][E8][33][75][93][5E][20][33]
81857765 : Rx: [10][19][99][5A][5E][0C][FF][34]
81858015 : Rx: [19][E9][33][D3][93][5E][20][33]
81858265 : Rx: [10][19][9B][5C][0B][0C][FF][34]
81858515 : Rx: [19][EA][32][31][94][5E][20][33]
81858765 : Rx: [10][19][9D][5E][7A][0C][FF][34]
81859015 : Rx: [19][EB][33][8F][94][5E][20][33]
81859265 : Rx: [10][19][9F][5F][96][0C][FF][34]
81859515 : Rx: [19][EC][33][F0][94][61][20][33]
81859765 : Rx: [10][19][A1][61][5E][0C][FF][34]
81860015 : Rx: [19][ED][35][51][95][61][20][33]
81860265 : Rx: [10][19][A3][62][CD][0C][FF][34]
81860515 : Rx: [50][FF][FF][01][59][00][C0][08]
81860765 : Rx: [50][FF][FF][01][59][00][C0][08]
81861015 : Rx: [19][EE][37][B2][95][61][20][33]
81861265 : Rx: [10][19][A7][66][58][0D][FF][34]
81861515 : Rx: [19][EF][37][13][96][61][20][33]
81861765 : Rx: [10][19][A9][68][90][0D][FF][34]
81862015 : Rx: [19][F0][36][7B][96][68][20][33]
81862265 : Rx: [10][19][AB][69][05][0D][FF][34]
81862515 : Rx: [19][F1][39][E3][96][68][20][33]
81862765 : Rx: [10][19][AD][6B][E3][0D][FF][34]
81863015 : Rx: [19][F2][3A][4B][97][68][20][33]
81863265 : Rx fail
81863515 : Rx: [19][F3][3A][B3][97][68][20][33]
81863765 : Rx: [10][19][B1][6F][A6][0E][FF][34]
81864015 : Rx fail
81864265 : Rx: [10][19][B3][71][6E][0E][FF][34]
81864515 : Rx: [19][F5][3D][8D][98][6D][20][33]
81864765 : Rx: [10][19][B5][73][DD][0E][FF][34]
81865015 : Rx: [19][F6][3E][FA][98][6D][20][33]
81865265 : Rx: [10][19][B7][74][15][0F][FF][34]
81865515 : Rx: [19][F7][3B][67][99][6D][20][33]
81865765 : Rx: [10][19][B9][76][A6][0E][FF][34]
81866015 : Rx fail
81866265 : Rx: [10][19][BB][78][DD][0E][FF][34]
81866515 : Rx: [19][F9][3D][4D][9A][73][20][33]
81866765 : Rx: [10][19][BD][7A][4C][0F][FF][34]
81867015 : Rx: [19][FA][3D][C0][9A][73][20][33]
81867265 : Rx: [10][19][BF][7C][4C][0F][FF][34]
81867515 : Rx: [19][FB][3D][33][9B][73][20][33]
81867765 : Rx fail
81868015 : Rx: [19][FC][3D][AA][9B][77][20][33]
81868265 : Rx fail
81868515 : Rx: [19][FD][3D][21][9C][77][20][33]
81868765 : Rx: [10][19][C5][82][F3][0F][FF][34]
81869015 : Rx: [F0][00][00][00][00][00][00][00]
81869265 : Rx fail
81869515 : Rx fail
81869765 : Rx: [10][19][C9][86][46][10][FF][34]
81870015 : Rx: [19][FF][3F][1C][9D][84][20][33]
81870265 : Rx fail
81870515 : Rx: [19][00][3F][A0][9D][84][20][33]
81870765 : Rx: [10][19][CD][8A][D1][10][FF][34]
81871015 : Rx fail
81871265 : Rx: [10][19][CF][8D][9A][10][FF][34]
81871515 : Rx: [19][02][3F][A8][9E][84][20][33]
81871765 : Rx: [10][19][D1][8F][B5][10][FF][34]
81872015 : Rx: [19][03][3F][42][9F][9A][20][33]
81872265 : Rx: [10][19][D3][91][46][10][FF][34]
81872515 : Rx: [19][04][43][DC][9F][9A][20][33]
81872765 : Rx: [10][19][D5][91][46][10][FF][34]
81873015 : Rx: [19][05][43][76][A0][9A][20][33]
81873265 : Rx: [10][19][D7][95][B5][10][FF][34]
81873515 : Rx: [19][06][43][10][A1][9A][20][33]
81873765 : Rx fail
81874015 : Rx fail
81874265 : Rx: [10][19][D9][97][D1][10][FF][34]
81874515 : Rx: [19][08][43][4D][A2][A3][20][33]
81874765 : Rx: [10][19][DD][9C][AF][11][FF][34]
81875015 : Rx: [19][09][43][F0][A2][A3][20][33]
81875265 : Rx: [10][19][DF][9E][09][11][FF][34]
81875515 : Rx: [19][0A][46][93][A3][A3][20][33]
81875765 : Rx: [10][19][E1][9F][09][11][FF][34]
81876015 : Rx: [19][0B][46][36][A4][A3][20][33]
81876265 : Rx: [10][19][E3][A1][78][11][FF][34]
81876515 : Rx: [19][0C][46][D9][A4][A3][20][33]
81876765 : Rx: [10][19][E5][A5][5C][11][FF][34]
81877015 : Rx: [51][FF][01][16][8D][2B][00][00]
81877265 : Rx: [51][FF][01][16][8D][2B][00][00]
81877515 : Rx: [19][0D][49][81][A5][A8][20][33]
81877765 : Rx: [10][19][E9][A8][56][12][FF][34]
81878015 : Rx: [19][0E][49][29][A6][A8][20][33]
81878265 : Rx: [10][19][EB][AB][40][11][FF][34]
81878515 : Rx: [19][0F][49][D7][A6][AE][20][33]
81878765 : Rx: [10][19][ED][AB][40][11][FF][34]
81879015 : Rx: [19][10][49][85][A7][AE][20][33]
81879265 : Rx fail
81879515 : Rx: [19][11][49][33][A8][AE][20][33]
81879765 : Rx: [10][19][F1][B2][CB][11][FF][34]
81880015 : Rx: [19][12][4A][E1][A8][AE][20][33]
81880265 : Rx: [10][19][F3][B5][CB][11][FF][34]
81880515 : Rx: [19][13][4A][90][A9][AF][20][33]
81880765 : Rx: [10][19][F5][B7][C5][12][FF][34]
81881015 : Rx: [19][14][4A][3F][AA][AF][20][33]
81881265 : Rx: [10][19][F7][B9][E1][12][FF][34]
81881515 : Rx: [19][15][4A][EE][AA][AF][20][33]
81881765 : Rx: [10][19][F9][BC][18][13][FF][34]
81882015 : Rx: [19][16][4A][9D][AB][AF][20][33]
81882265 : Rx: [10][19][FB][BE][50][13][FF][34]
81882515 : Rx fail
81882765 : Rx: [10][19][FD][C1][3A][12][FF][34]
81883015 : Rx fail
81883265 : Rx fail
81883515 : Rx: [19][19][4D][D7][AD][BE][20][33]
81883765 : Rx: [10][19][01][C3][72][12][FF][34]
81884015 : Rx: [19][1A][4D][95][AE][BE][20][33]
81884265 : Rx: [10][19][03][C8][C5][12][FF][34]
81884515 : Rx: [19][1B][4D][50][AF][BB][20][33]
81884765 : Rx: [10][19][05][CA][E1][12][FF][34]
81885015 : Rx: [19][1C][50][0B][B0][BB][20][33]
81885265 : Rx: [10][19][07][CD][88][13][FF][34]
81885515 : Rx: [F0][00][00][00][00][00][00][00]
81885765 : Rx: [10][19][09][CF][A3][13][FF][34]
81886015 : Rx: [19][1D][50][C6][B0][BB][20][33]
81886265 : Rx: [10][19][0B][D2][BF][13][FF][34]
81886515 : Rx: [19][1E][50][8C][B1][C6][20][33]
81886765 : Rx: [10][19][0D][D4][12][14][FF][34]
81887015 : Rx: [19][1F][50][52][B2][C6][20][33]
81887265 : Rx: [10][19][0F][D7][DB][13][FF][34]
81887515 : Rx: [19][20][52][18][B3][C6][20][33]
81887765 : Rx: [10][19][11][D9][BF][13][FF][34]
81888015 : Rx: [19][21][52][DE][B3][C6][20][33]
81888265 : Rx: [10][19][13][DC][BF][13][FF][34]
81888515 : Rx: [19][22][52][A4][B4][C6][20][33]
81888765 : Rx: [10][19][15][DE][BF][13][FF][34]
81889015 : Rx fail
81889265 : Rx fail
81889515 : Rx: [19][24][55][36][B6][C9][20][33]
81889765 : Rx fail
81890015 : Rx: [10][19][19][E3][12][14][FF][34]
81890265 : Rx: [10][19][1B][E6][6C][13][FF][34]
81890515 : Rx fail
81890765 : Rx: [19][26][55][C8][B7][C9][20][33]
81891015 : Rx: [19][27][55][91][B8][C9][20][33]
81891265 : Rx fail
81891515 : Rx: [10][19][1F][EB][BF][13][FF][34]
81891765 : Rx: [10][19][21][ED][18][13][FF][34]
81892015 : Rx fail
81892265 : Rx fail
81892515 : Rx: [19][29][55][23][BA][C9][20][33]
81892765 : Rx fail
81893015 : Rx fail
81893265 : Rx: [10][19][25][F2][66][14][FF][34]
81893515 : Rx fail
81893765 : Rx fail
81894015 : Rx: [50][FF][FF][01][59][00][C0][08]
81894265 : Rx fail
81894515 : Rx fail
81894765 : Rx fail
81895015 : Rx fail
81895265 : Rx fail
81895515 : Rx: [19][2E][56][1C][BE][D5][20][33]
81895765 : Rx: [10][19][31][02][B9][14][FF][34]
81896015 : Rx fail
81896265 : Rx: [10][19][33][05][F1][14][FF][34]
81896515 : Rx: [19][31][55][9B][C0][D5][20][33]
