*** New Session***
19-7-2018 15:16:15
Product Name: Flux 30%
105078765 : Rx: [19][5F][58][38][93][08][21][33]
105079000 : Rx: [10][19][20][B0][8E][12][FF][34]
105079250 : Rx: [19][60][58][40][94][08][21][33]
105079500 : Rx: [10][19][22][B2][3A][12][FF][34]
105079765 : Rx: [19][61][58][53][95][13][21][33]
105080015 : Rx: [10][19][24][B5][1E][12][FF][34]
105080250 : Rx: [19][62][57][63][96][10][21][33]
105080500 : Rx: [10][19][26][B7][8E][12][FF][34]
105080750 : Rx: [19][63][57][79][97][16][21][33]
105081000 : Rx: [10][19][28][B9][72][12][FF][34]
105081265 : Rx: [19][64][57][39][98][C0][20][33]
105081500 : Rx: [10][19][2A][BB][40][11][FF][34]
105081765 : Rx: [19][65][57][68][98][2F][20][33]
105082015 : Rx: [10][19][2C][BD][9A][10][FF][34]
105082265 : Rx: [19][66][57][6B][99][03][21][33]
105082500 : Rx: [10][19][2E][BF][78][11][FF][34]
105082750 : Rx: [19][67][57][75][9A][0A][21][33]
105083000 : Rx: [10][19][30][C2][8E][12][FF][34]
105083250 : Rx: [50][FF][FF][01][59][00][54][0B]
105083500 : Rx: [50][FF][FF][01][59][00][54][0B]
105083765 : Rx fail
105084000 : Rx fail
105084250 : Rx: [19][68][4D][A0][9B][2B][21][33]
105084500 : Rx: [10][19][36][C8][E1][12][FF][34]
105084765 : Rx: [19][6A][4D][DF][9D][21][21][33]
105085015 : Rx: [10][19][38][CB][34][13][FF][34]
105085250 : Rx: [19][6B][4D][08][9F][29][21][33]
105085500 : Rx: [10][19][3A][CD][A3][13][FF][34]
105085765 : Rx: [19][6C][49][64][A0][5C][21][30]
105086015 : Rx: [10][19][3C][D0][B9][14][FF][34]
105086265 : Rx: [19][6D][49][B9][A1][55][21][30]
105086515 : Rx: [10][19][3E][D2][60][15][FF][34]
105086750 : Rx: [19][6E][49][18][A3][5F][21][33]
105087000 : Rx: [10][19][40][D4][B3][15][FF][34]
105087265 : Rx: [19][6F][49][70][A4][58][21][33]
105087500 : Rx: [10][19][42][D8][0C][15][FF][34]
105087750 : Rx: [19][70][49][B9][A5][49][21][33]
105088000 : Rx: [10][19][44][D9][D5][14][FF][34]
105088265 : Rx fail
105088500 : Rx: [10][19][46][DD][9D][14][FF][34]
105088765 : Rx: [19][72][4E][3F][A8][41][21][33]
105089015 : Rx: [10][19][48][DF][66][14][FF][34]
105089265 : Rx: [19][73][4E][96][A9][57][21][30]
105089515 : Rx: [10][19][4A][E2][F1][14][FF][34]
105089765 : Rx: [19][74][4E][E1][AA][4B][21][33]
105090015 : Rx: [10][19][4C][E4][B3][15][FF][34]
105090250 : Rx: [19][75][51][49][AC][68][21][30]
105090500 : Rx: [10][19][4E][E6][B3][15][FF][34]
105090765 : Rx: [19][76][51][B1][AD][68][21][30]
105091000 : Rx fail
105091250 : Rx fail
105091500 : Rx: [10][19][52][ED][10][19][FF][34]
105091765 : Rx: [F0][00][00][00][00][00][00][00]
105092015 : Rx: [10][19][54][F1][AB][1B][FF][34]
105092265 : Rx: [19][78][57][59][B1][EA][21][30]
105092515 : Rx: [10][19][56][F4][1A][1C][FF][34]
105092750 : Rx: [19][79][57][39][B3][E0][21][33]
105093015 : Rx: [10][19][58][F7][1A][1C][FF][34]
105093265 : Rx: [19][7A][57][18][B4][DF][20][33]
105093515 : Rx: [10][19][5A][FB][D3][19][FF][34]
105093750 : Rx: [19][7B][5D][F0][B5][D8][21][30]
105094000 : Rx: [10][19][5C][FE][95][1A][FF][34]
105094250 : Rx: [19][7C][5D][F6][B7][06][22][30]
105094500 : Rx: [10][19][5E][02][DC][1C][FF][34]
105094765 : Rx: [19][7D][5D][F4][B9][FE][21][30]
105095000 : Rx: [10][19][60][05][6D][1C][FF][34]
105095250 : Rx: [19][7E][5D][D7][BB][E3][21][33]
105095500 : Rx: [10][19][62][08][CD][1A][FF][34]
105095765 : Rx: [19][7F][5C][C6][BD][EF][21][30]
105096015 : Rx: [10][19][64][0C][8F][1B][FF][34]
105096250 : Rx: [19][80][5C][D4][BF][0E][22][30]
105096515 : Rx: [10][19][66][0F][4C][1D][FF][34]
105096750 : Rx: [19][81][5C][D8][C1][04][22][30]
105097015 : Rx: [10][19][68][13][2A][1E][FF][34]
105097265 : Rx: [19][82][5E][03][C4][2B][22][30]
105097500 : Rx: [10][19][6A][17][D0][1E][FF][34]
105097750 : Rx: [19][83][5E][35][C6][32][22][33]
105098000 : Rx: [10][19][6C][1A][08][1F][FF][34]
105098265 : Rx: [19][84][5E][BE][C7][89][21][33]
105098500 : Rx: [10][19][6E][1E][4C][1D][FF][34]
105098765 : Rx: [19][85][65][BE][C7][00][20][33]
105099000 : Rx: [10][19][70][20][AD][16][FF][34]
105099265 : Rx: [19][86][65][BE][C7][00][20][33]
105099515 : Rx: [10][19][72][23][4A][14][FF][34]
105099765 : Rx: [51][FF][02][14][87][9E][5C][33]
105100000 : Rx: [51][FF][02][14][87][9E][5C][33]
105100265 : Rx: [19][87][65][77][C8][B9][20][33]
105100500 : Rx: [10][19][76][27][94][11][FF][34]
105100765 : Rx: [19][88][65][30][C9][B9][20][33]
105101015 : Rx: [10][19][78][28][0F][10][FF][34]
105101250 : Rx: [19][89][65][8D][C9][5D][20][33]
105101515 : Rx: [10][19][7A][2B][36][0E][FF][34]
105101765 : Rx: [19][8A][65][3F][CA][B2][20][33]
105102015 : Rx: [10][19][7C][2C][90][0D][FF][34]
105102265 : Rx: [19][8B][65][D5][CA][96][20][33]
105102500 : Rx: [10][19][7E][2E][21][0D][FF][34]
105102750 : Rx: [19][8C][65][D5][CA][00][20][33]
105103000 : Rx fail
105103265 : Rx: [10][19][80][2F][48][0B][FF][34]
105103515 : Rx: [10][19][82][30][4E][0A][FF][34]
105103765 : Rx: [19][8E][65][9E][CB][79][20][33]
105104015 : Rx: [10][19][84][32][80][0B][FF][34]
105104250 : Rx: [19][8F][65][21][CC][83][20][33]
105104515 : Rx: [10][19][86][33][80][0B][FF][34]
105104750 : Rx: [19][90][65][9B][CC][7A][20][33]
105105000 : Rx fail
105105250 : Rx fail
105105500 : Rx: [10][19][8A][36][48][0B][FF][34]
105105765 : Rx: [19][92][65][57][CD][50][20][33]
105106000 : Rx: [10][19][8C][37][4E][0A][FF][34]
105106250 : Rx: [19][93][65][CD][CD][76][20][33]
105106515 : Rx: [10][19][8E][38][33][0A][FF][34]
105106750 : Rx: [19][94][65][43][CE][76][20][33]
105107000 : Rx: [10][19][90][3A][DF][09][FF][34]
105107250 : Rx: [19][95][65][B2][CE][6F][20][33]
105107500 : Rx: [10][19][92][3B][A2][0A][FF][34]
105107765 : Rx: [19][96][65][2C][CF][7A][20][33]
105108015 : Rx: [10][19][94][3C][86][0A][FF][34]
105108265 : Rx: [F0][00][00][00][00][00][00][00]
105108500 : Rx: [10][19][96][3D][17][0A][FF][34]
105108750 : Rx: [19][97][65][9F][CF][73][20][33]
105109015 : Rx: [10][19][98][3E][3F][08][FF][34]
105109250 : Rx: [19][98][65][9F][CF][00][20][33]
105109500 : Rx: [10][19][9A][3F][3F][08][FF][34]
105109750 : Rx: [19][99][65][9F][CF][00][20][33]
105110015 : Rx: [10][19][9C][40][C6][04][FF][34]
105110250 : Rx: [19][9A][65][9F][CF][00][20][33]
105110515 : Rx: [10][19][9E][40][94][03][FF][34]
105110765 : Rx: [19][9B][65][9F][CF][00][20][33]
105111015 : Rx: [10][19][A0][40][B6][02][FF][34]
105111250 : Rx: [19][9C][65][9F][CF][00][20][33]
105111515 : Rx: [10][19][A2][40][69][01][FF][34]
105111750 : Rx: [19][9D][65][9F][CF][00][20][30]
105112015 : Rx: [10][19][A3][41][FA][00][FF][24]
105112250 : Rx: [19][9E][65][9F][CF][00][20][20]
105112515 : Rx: [10][19][A3][41][C2][00][FF][24]
105112750 : Rx: [19][9F][65][9F][CF][00][20][20]
105113000 : Rx: [10][19][A3][41][6F][00][FF][24]
105113265 : Rx: [19][A0][65][9F][CF][00][20][20]
105113515 : Rx: [10][19][A3][41][53][00][FF][24]
105113750 : Rx: [19][A1][65][9F][CF][00][20][20]
105114000 : Rx: [10][19][A3][41][00][00][FF][24]
105114265 : Rx: [19][A2][65][9F][CF][00][20][20]
105114500 : Rx: [10][19][A3][41][00][00][FF][24]
