*** New Session***
25-7-2018 15:56:54
Product Name: 30 Flux
25366187 : Rx: [19][42][30][92][7A][70][20][33]
25366437 : Rx: [10][19][8A][12][39][09][FF][34]
25366687 : Rx: [19][43][30][02][7B][70][20][33]
25366937 : Rx fail
25367187 : Rx: [19][44][2D][65][7B][63][20][33]
25367437 : Rx: [10][19][8E][13][AE][08][FF][34]
25367687 : Rx: [19][45][2F][CC][7B][67][20][33]
25367937 : Rx: [10][19][90][15][92][08][FF][34]
25368187 : Rx: [19][46][2D][26][7C][5A][20][33]
25368437 : Rx: [10][19][92][15][92][08][FF][34]
25368687 : Rx: [19][47][2D][87][7C][61][20][33]
25368937 : Rx: [10][19][94][17][92][08][FF][34]
25369187 : Rx fail
25369437 : Rx: [10][19][96][18][39][09][FF][34]
25369687 : Rx: [19][49][30][53][7D][6B][20][33]
25369937 : Rx: [10][19][98][18][39][09][FF][34]
25370187 : Rx: [19][4A][2E][B5][7D][62][20][33]
25370437 : Rx: [10][19][9A][1A][CA][08][FF][34]
25370687 : Rx: [19][4B][2E][17][7E][62][20][33]
25370937 : Rx fail
25371187 : Rx fail
25371437 : Rx: [10][19][9E][1C][AE][08][FF][34]
25371687 : Rx: [19][4D][30][D6][7E][68][20][33]
25371937 : Rx: [10][19][A0][1E][1D][09][FF][34]
25372187 : Rx: [19][4E][2E][36][7F][60][20][33]
25372437 : Rx: [10][19][A2][1F][01][09][FF][34]
25372687 : Rx: [19][4F][2F][9C][7F][66][20][33]
25372937 : Rx: [10][19][A4][20][CA][08][FF][34]
25373187 : Rx: [50][FF][FF][01][59][00][54][0B]
25373437 : Rx: [50][FF][FF][01][59][00][54][0B]
25373687 : Rx: [19][50][30][05][80][69][20][33]
25373937 : Rx: [10][19][A8][22][39][09][FF][34]
25374187 : Rx: [19][51][31][6F][80][6A][20][33]
25374437 : Rx: [10][19][AA][23][54][09][FF][34]
25374687 : Rx: [19][52][32][DB][80][6C][20][33]
25374937 : Rx: [10][19][AC][25][CA][08][FF][34]
25375187 : Rx fail
25375437 : Rx: [19][53][2E][27][81][4C][20][33]
25375687 : Rx: [19][54][31][94][81][6D][20][33]
25375937 : Rx fail
25376187 : Rx fail
25376437 : Rx fail
25376687 : Rx fail
25376937 : Rx: [10][19][B4][29][70][09][FF][34]
25377187 : Rx: [19][57][31][CC][82][6C][20][33]
25377437 : Rx: [10][19][B6][2A][54][09][FF][34]
25377687 : Rx: [19][58][31][37][83][6B][20][33]
25377937 : Rx: [10][19][B8][2B][54][09][FF][34]
25378187 : Rx: [19][59][34][A9][83][72][20][33]
25378437 : Rx: [10][19][BA][2D][DF][09][FF][34]
25378687 : Rx: [19][5A][35][1D][84][74][20][33]
