*** New Session***
31-7-2018 08:56:19
Product Name: Genius -30
61193671 : Rx: [10][19][B5][88][4F][21][FF][34]
61193921 : Rx: [19][09][16][27][30][11][00][30]
61194171 : Rx: [10][19][B7][8E][43][23][FF][34]
61194421 : Rx: [19][0A][00][36][30][0F][00][30]
61194671 : Rx: [10][19][B9][95][1C][25][FF][34]
61194921 : Rx: [19][0B][00][44][30][0E][00][30]
61195171 : Rx: [10][19][BB][99][41][28][FF][34]
61195421 : Rx: [19][0C][00][52][30][0E][00][30]
61195671 : Rx: [10][19][BD][A1][FE][29][FF][34]
61195921 : Rx: [19][0D][00][62][30][10][00][30]
61196171 : Rx: [10][19][BF][A5][51][2A][FF][34]
61196421 : Rx: [19][0E][00][77][30][15][00][30]
61196671 : Rx: [10][19][C1][A5][CC][28][FF][34]
61196921 : Rx: [19][0F][00][8C][30][15][00][30]
61197171 : Rx: [10][19][C3][AF][87][21][FF][34]
61197421 : Rx: [19][10][00][A9][30][1D][00][30]
61197671 : Rx: [10][19][C5][B2][87][21][FF][34]
61197921 : Rx: [19][11][00][CB][30][22][00][30]
61198171 : Rx: [10][19][C7][B4][32][18][FF][34]
61198421 : Rx: [19][12][00][EA][30][1F][00][30]
61198671 : Rx: [10][19][C9][B9][EE][19][FF][34]
61198921 : Rx: [19][13][00][05][31][1B][00][30]
61199171 : Rx: [10][19][CB][BC][FE][1B][FF][34]
61199421 : Rx: [19][14][00][1D][31][18][00][30]
61199671 : Rx: [10][19][CD][BF][3A][20][FF][34]
61199921 : Rx fail
61200171 : Rx fail
61200421 : Rx: [19][15][00][34][31][17][00][30]
61200671 : Rx: [10][19][D1][C9][22][24][FF][34]
61200921 : Rx: [19][16][1A][47][31][13][00][30]
61201171 : Rx: [10][19][D3][CD][9A][27][FF][34]
61201421 : Rx: [19][17][15][59][31][12][00][30]
61201671 : Rx fail
61201921 : Rx: [10][19][D5][CD][9A][27][FF][34]
61202171 : Rx fail
61202421 : Rx fail
61202671 : Rx: [19][19][00][7F][31][13][00][30]
61202921 : Rx: [19][1A][00][9F][31][20][00][30]
61203171 : Rx fail
61203421 : Rx: [10][19][DB][E2][FC][20][FF][34]
61203671 : Rx: [10][19][DD][E4][4C][1D][FF][34]
61203921 : Rx fail
61204171 : Rx: [19][1C][00][E3][31][22][00][30]
61204421 : Rx: [19][1D][00][00][32][1D][00][30]
61204671 : Rx fail
61204921 : Rx fail
61205171 : Rx: [10][19][E1][EE][4F][21][FF][34]
61205421 : Rx fail
61205671 : Rx fail
61205921 : Rx: [19][1F][1F][34][32][19][00][30]
61206171 : Rx fail
61206421 : Rx fail
61206671 : Rx: [10][19][E7][FD][5D][28][FF][34]
61206921 : Rx fail
61207171 : Rx fail
61207421 : Rx: [19][22][00][74][32][15][00][30]
61207671 : Rx fail
61207921 : Rx fail
61208171 : Rx: [10][19][ED][0E][D0][2C][FF][34]
61208421 : Rx: [51][FF][02][13][85][11][00][00]
61208671 : Rx: [51][FF][02][13][85][11][00][00]
61208921 : Rx: [19][25][00][BF][32][23][00][30]
61209171 : Rx: [10][19][F3][1F][41][28][FF][34]
61209421 : Rx: [19][26][00][E6][32][27][00][30]
61209671 : Rx: [10][19][F5][22][71][20][FF][34]
61209921 : Rx: [19][27][00][0E][33][28][00][30]
61210171 : Rx: [10][19][F7][28][C4][20][FF][34]
61210421 : Rx: [19][28][00][31][33][23][00][30]
61210671 : Rx: [10][19][F9][2B][65][22][FF][34]
61210921 : Rx: [19][29][00][51][33][20][00][30]
61211171 : Rx: [10][19][FB][2B][22][24][FF][34]
61211421 : Rx: [19][2A][00][6F][33][1E][00][30]
61211671 : Rx: [10][19][FD][34][41][28][FF][34]
61211921 : Rx: [19][2B][00][8B][33][1C][00][30]
61212171 : Rx: [10][19][FF][34][E2][29][FF][34]
61212421 : Rx: [19][2C][00][A5][33][1A][00][30]
61212671 : Rx: [10][19][01][40][4B][2B][FF][34]
61212921 : Rx: [19][2D][00][BF][33][1A][00][30]
61213171 : Rx: [10][19][03][45][7C][2C][FF][34]
61213421 : Rx: [19][2E][00][DB][33][1C][00][30]
61213671 : Rx: [10][19][05][49][C6][29][FF][34]
61213921 : Rx: [19][2F][15][01][34][26][00][30]
61214171 : Rx: [10][19][07][52][63][27][FF][34]
61214421 : Rx: [19][30][17][26][34][25][00][30]
61214671 : Rx: [10][19][09][57][C2][25][FF][34]
61214921 : Rx fail
61215171 : Rx fail
61215421 : Rx: [19][32][18][6A][34][21][00][30]
61215671 : Rx: [10][19][0D][60][8E][29][FF][34]
61215921 : Rx: [19][33][1F][89][34][1F][00][30]
61216171 : Rx: [10][19][0F][66][82][2B][FF][34]
61216421 : Rx: [19][34][22][A8][34][1F][00][30]
61216671 : Rx: [10][19][11][66][EC][2C][FF][34]
61216921 : Rx: [F0][00][00][00][00][00][00][00]
61217171 : Rx: [10][19][13][73][17][2F][FF][34]
61217421 : Rx: [19][35][28][C6][34][1E][00][30]
61217671 : Rx: [10][19][15][73][BE][2F][FF][34]
61217921 : Rx: [19][36][3C][E8][34][22][00][30]
61218171 : Rx: [10][19][17][7C][BE][2F][FF][34]
61218421 : Rx: [19][37][30][15][35][2D][00][30]
61218671 : Rx: [10][19][19][84][F8][2A][FF][34]
61218921 : Rx fail
61219171 : Rx fail
61219421 : Rx: [19][38][30][42][35][2D][00][30]
61219671 : Rx: [10][19][1D][8D][F8][2A][FF][34]
61219921 : Rx: [19][3A][30][9C][35][2D][00][30]
61220171 : Rx: [10][19][1F][96][F8][2A][FF][34]
61220421 : Rx: [19][3B][34][C9][35][2D][00][30]
61220671 : Rx: [10][19][21][96][64][30][FF][34]
61220921 : Rx: [19][3C][34][F6][35][2D][00][30]
61221171 : Rx: [10][19][23][9E][21][32][FF][34]
61221421 : Rx: [19][3D][38][1F][36][29][00][30]
61221671 : Rx: [10][19][25][A8][21][32][FF][34]
61221921 : Rx: [19][3E][2D][44][36][25][00][30]
61222171 : Rx: [10][19][27][AF][DD][33][FF][34]
61222421 : Rx: [19][3F][2D][69][36][25][00][30]
61222671 : Rx: [10][19][29][B4][7E][35][FF][34]
61222921 : Rx: [19][40][22][8B][36][22][00][30]
61223171 : Rx: [10][19][2B][BE][25][36][FF][34]
61223421 : Rx: [19][41][1F][AB][36][20][00][30]
61223671 : Rx: [10][19][2D][C3][25][36][FF][34]
61223921 : Rx: [19][42][19][CC][36][21][00][30]
61224171 : Rx: [10][19][2F][C3][0F][35][FF][34]
61224421 : Rx: [19][43][16][F1][36][25][00][30]
61224671 : Rx: [10][19][31][CE][E3][32][FF][34]
61224921 : Rx: [50][FF][FF][01][59][00][20][08]
61225171 : Rx: [50][FF][FF][01][59][00][20][08]
61225421 : Rx: [19][44][00][1A][37][29][00][30]
61225671 : Rx: [10][19][35][DC][A0][34][FF][34]
61225921 : Rx: [19][45][1E][46][37][2C][00][30]
61226171 : Rx: [10][19][37][E7][A0][34][FF][34]
61226421 : Rx: [19][46][2B][72][37][2C][00][30]
61226671 : Rx: [10][19][39][EC][09][36][FF][34]
61226921 : Rx: [19][47][32][A0][37][2E][00][30]
61227171 : Rx fail
61227421 : Rx: [19][48][37][D0][37][30][00][30]
61227671 : Rx fail
61227921 : Rx fail
61228171 : Rx fail
61228421 : Rx: [19][4A][46][35][38][33][00][30]
61228671 : Rx: [10][19][41][07][66][39][FF][34]
61228921 : Rx: [19][4B][49][69][38][34][00][30]
61229171 : Rx: [10][19][43][12][B9][39][FF][34]
61229421 : Rx: [19][4C][4C][9E][38][35][00][30]
61229671 : Rx: [10][19][45][18][F1][39][FF][34]
61229921 : Rx fail
61230171 : Rx: [10][19][47][18][F1][39][FF][34]
61230421 : Rx: [19][4E][4D][0A][39][36][00][30]
61230671 : Rx: [10][19][49][26][F1][39][FF][34]
61230921 : Rx: [19][4F][58][46][39][3C][00][30]
61231171 : Rx: [10][19][4B][2C][9E][39][FF][34]
61231421 : Rx: [19][50][55][82][39][3C][00][30]
61231671 : Rx: [10][19][4D][37][9E][39][FF][34]
61231921 : Rx: [19][51][53][C7][39][45][00][30]
61232171 : Rx: [10][19][4F][37][60][3A][FF][34]
61232421 : Rx: [19][52][55][10][3A][49][00][30]
61232671 : Rx: [10][19][51][42][44][3A][FF][34]
61232921 : Rx: [19][53][58][5C][3A][4C][00][30]
61233171 : Rx: [10][19][53][4E][60][3A][FF][34]
61233421 : Rx: [F0][00][00][00][00][00][00][00]
61233671 : Rx: [10][19][55][53][60][3A][FF][34]
61233921 : Rx: [19][54][5D][B2][3A][56][00][30]
61234171 : Rx: [10][19][57][53][44][3A][FF][34]
61234421 : Rx: [19][55][5D][08][3B][56][00][30]
61234671 : Rx: [10][19][59][5E][44][3A][FF][34]
61234921 : Rx: [19][56][62][6B][3B][63][00][30]
61235171 : Rx: [10][19][5B][6A][7C][3A][FF][34]
61235421 : Rx: [19][57][66][D0][3B][65][00][30]
61235671 : Rx: [10][19][5D][6F][44][3A][FF][34]
61235921 : Rx: [19][58][66][37][3C][67][00][30]
61236171 : Rx: [10][19][5F][75][60][3A][FF][34]
61236421 : Rx fail
