*** New Session***
31-7-2018 09:00:07
Product Name: Genius 30
61427921 : Rx: [19][C1][34][DC][80][7B][00][30]
61428171 : Rx: [10][19][1F][D5][4E][0A][FF][34]
61428421 : Rx: [19][C2][34][54][81][78][00][30]
61428671 : Rx: [10][19][21][D6][33][0A][FF][34]
61428906 : Rx fail
61429171 : Rx: [19][C3][34][CC][81][78][00][30]
61429421 : Rx: [19][C4][33][43][82][77][00][30]
61429671 : Rx: [10][19][25][D7][FB][09][FF][34]
61429921 : Rx: [19][C5][33][BC][82][79][00][30]
61430171 : Rx: [10][19][27][DA][A2][0A][FF][34]
61430421 : Rx: [19][C6][33][36][83][7A][00][30]
61430671 : Rx: [10][19][29][DB][A2][0A][FF][34]
61430921 : Rx: [19][C7][33][B0][83][7A][00][30]
61431156 : Rx fail
61431406 : Rx fail
61431671 : Rx: [10][19][2D][DE][F5][0A][FF][34]
61431906 : Rx fail
61432171 : Rx: [10][19][2F][DE][F5][0A][FF][34]
61432421 : Rx: [19][C9][33][AC][84][7E][00][30]
61432671 : Rx: [10][19][31][E0][80][0B][FF][34]
61432921 : Rx: [19][CA][34][32][85][86][00][30]
61433171 : Rx: [10][19][33][E3][BE][0A][FF][34]
61433421 : Rx: [19][CB][34][BA][85][88][00][30]
61433671 : Rx: [10][19][35][E3][11][0B][FF][34]
61433921 : Rx: [19][CC][35][4B][86][91][00][30]
61434171 : Rx: [10][19][37][E5][0B][0C][FF][34]
61434421 : Rx: [19][CD][35][DC][86][91][00][30]
61434671 : Rx: [10][19][39][E7][48][0B][FF][34]
61434921 : Rx: [19][CE][36][77][87][9B][00][30]
61435171 : Rx: [10][19][3B][E8][42][0C][FF][34]
61435421 : Rx: [19][CF][37][0F][88][98][00][30]
61435671 : Rx: [10][19][3D][E9][9C][0B][FF][34]
61435921 : Rx: [19][D0][37][A7][88][98][00][30]
61436171 : Rx: [10][19][3F][EC][7A][0C][FF][34]
61436421 : Rx: [19][D1][39][4C][89][A5][00][30]
61436671 : Rx: [10][19][41][EC][5E][0C][FF][34]
61436921 : Rx: [19][D2][39][F0][89][A4][00][30]
61437171 : Rx: [10][19][43][EC][0B][0C][FF][34]
61437421 : Rx: [19][D3][39][94][8A][A4][00][30]
61437671 : Rx: [10][19][45][F0][0B][0C][FF][34]
61437921 : Rx: [19][D4][3A][45][8B][B1][00][30]
61438171 : Rx: [10][19][47][F2][B2][0C][FF][34]
61438421 : Rx: [19][D5][3B][F4][8B][AF][00][30]
61438671 : Rx: [10][19][49][F2][27][0C][FF][34]
61438921 : Rx: [19][D6][3B][A6][8C][B2][00][30]
61439171 : Rx: [10][19][4B][F4][42][0C][FF][34]
61439421 : Rx: [51][FF][02][13][85][11][00][00]
61439671 : Rx: [51][FF][02][13][85][11][00][00]
61439921 : Rx: [19][D7][3C][5B][8D][B5][00][30]
61440171 : Rx: [10][19][4F][F7][5E][0C][FF][34]
61440421 : Rx: [19][D8][3D][0B][8E][B0][00][30]
61440671 : Rx: [10][19][51][F9][D3][0B][FF][34]
61440921 : Rx: [19][D9][3C][BB][8E][B0][00][30]
61441171 : Rx: [10][19][53][F9][05][0D][FF][34]
61441421 : Rx: [19][DA][3C][76][8F][BB][00][30]
61441671 : Rx: [10][19][55][FD][7A][0C][FF][34]
61441921 : Rx: [19][DB][3C][2A][90][B4][00][30]
61442171 : Rx: [10][19][57][FE][EF][0B][FF][34]
61442421 : Rx: [19][DC][3D][E1][90][B7][00][30]
61442671 : Rx: [10][19][59][FF][5E][0C][FF][34]
61442921 : Rx: [19][DD][3D][99][91][B8][00][30]
61443171 : Rx: [10][19][5B][01][0B][0C][FF][34]
