*** New Session***
19-7-2018 15:52:21
Product Name: Flux 0W
107270328 : Rx: [10][19][4A][7A][7A][0C][FF][34]
107270578 : Rx: [19][75][16][EB][F8][00][20][33]
107270828 : Rx: [10][19][4C][7C][5E][0C][FF][34]
107271078 : Rx: [19][76][16][1A][F9][2F][20][33]
107271328 : Rx: [10][19][4E][7D][5E][0C][FF][34]
107271578 : Rx: [19][77][1A][1A][F9][00][20][33]
107271828 : Rx: [10][19][50][7F][EF][0B][FF][34]
107272078 : Rx: [19][78][1A][4B][F9][31][20][33]
107272328 : Rx: [10][19][52][80][B2][0C][FF][34]
107272578 : Rx: [19][79][1A][7C][F9][31][20][33]
107272828 : Rx: [10][19][54][82][B2][0C][FF][34]
107273078 : Rx: [19][7A][1A][AD][F9][31][20][33]
107273328 : Rx: [10][19][56][84][3C][0D][FF][34]
107273578 : Rx: [19][7B][1A][E1][F9][34][20][33]
107273828 : Rx: [10][19][58][85][3C][0D][FF][34]
107274078 : Rx: [19][7C][1A][1A][FA][39][20][33]
107274328 : Rx: [10][19][5A][87][AC][0D][FF][34]
107274578 : Rx: [19][7D][1A][52][FA][38][20][33]
107274828 : Rx: [10][19][5C][89][C7][0D][FF][34]
107275078 : Rx: [19][7E][1A][8A][FA][38][20][33]
107275328 : Rx: [10][19][5E][8A][1B][0E][FF][34]
107275578 : Rx: [19][7F][1A][C6][FA][3C][20][33]
107275828 : Rx: [10][19][60][8C][E3][0D][FF][34]
107276078 : Rx: [19][80][1A][06][FB][40][20][33]
107276328 : Rx: [10][19][62][8E][6E][0E][FF][34]
107276578 : Rx: [19][81][1A][45][FB][3F][20][33]
107276828 : Rx: [10][19][64][90][A6][0E][FF][34]
107277078 : Rx: [19][82][1A][83][FB][3E][20][33]
107277328 : Rx: [10][19][66][91][A6][0E][FF][34]
107277578 : Rx fail
107277828 : Rx fail
107278078 : Rx: [51][FF][02][14][87][9E][5C][33]
107278328 : Rx: [10][19][6A][94][8A][0E][FF][34]
107278578 : Rx: [19][84][1D][F4][FB][38][20][33]
107278828 : Rx: [10][19][6C][97][36][0E][FF][34]
107279078 : Rx: [19][85][1D][35][FC][41][20][33]
107279328 : Rx fail
107279578 : Rx fail
107279828 : Rx fail
107280078 : Rx: [19][87][1D][B4][FC][3F][20][33]
107280328 : Rx fail
107280578 : Rx: [19][88][1D][F6][FC][42][20][33]
107280828 : Rx: [10][19][74][9E][DD][0E][FF][34]
107281078 : Rx: [19][89][1D][37][FD][41][20][33]
107281328 : Rx: [10][19][76][A0][15][0F][FF][34]
107281578 : Rx: [19][8A][21][78][FD][41][20][33]
107281828 : Rx: [10][19][78][A0][15][0F][FF][34]
107282078 : Rx: [19][8B][21][BC][FD][44][20][33]
107282328 : Rx: [10][19][7A][A3][F9][0E][FF][34]
107282578 : Rx: [19][8C][21][FB][FD][3F][20][33]
107282828 : Rx: [10][19][7C][A5][4C][0F][FF][34]
107283078 : Rx: [19][8D][21][3F][FE][44][20][33]
107283328 : Rx: [10][19][7E][A7][84][0F][FF][34]
107283578 : Rx: [19][8E][21][80][FE][41][20][33]
107283828 : Rx: [10][19][80][A9][4C][0F][FF][34]
107284078 : Rx: [19][8F][21][C3][FE][43][20][33]
107284328 : Rx: [10][19][82][AB][15][0F][FF][34]
107284578 : Rx: [19][90][22][02][FF][3F][20][33]
107284828 : Rx: [10][19][84][AD][4C][0F][FF][34]
