*** New Session***
19-7-2018 15:18:48
Product Name: Flux -30%
105233750 : Rx: [19][82][47][FB][F4][A6][20][33]
105234000 : Rx: [10][19][D4][68][30][1D][FF][34]
105234265 : Rx: [19][83][47][A5][F5][AA][20][33]
105234515 : Rx: [10][19][D6][6B][30][1D][FF][34]
105234750 : Rx: [19][84][47][50][F6][AB][20][33]
105235000 : Rx: [10][19][D8][6F][67][1D][FF][34]
105235265 : Rx: [19][85][47][FC][F6][AC][20][33]
105235500 : Rx: [10][19][DA][72][83][1D][FF][34]
105235765 : Rx: [19][86][44][AA][F7][AE][20][33]
105236000 : Rx fail
105236250 : Rx fail
105236515 : Rx: [10][19][DC][76][BB][1D][FF][34]
105236750 : Rx: [19][88][44][04][F9][AD][20][33]
105237015 : Rx: [10][19][E0][7D][0E][1E][FF][34]
105237250 : Rx: [19][89][44][B2][F9][AE][20][33]
105237515 : Rx: [10][19][E2][80][0E][1E][FF][34]
105237765 : Rx: [19][8A][44][60][FA][AE][20][33]
105238015 : Rx: [10][19][E4][84][0E][1E][FF][34]
105238250 : Rx: [19][8B][44][0D][FB][AD][20][33]
105238500 : Rx: [10][19][E6][88][F2][1D][FF][34]
105238750 : Rx: [19][8C][44][BB][FB][AE][20][33]
105239015 : Rx: [10][19][E8][8C][F2][1D][FF][34]
105239250 : Rx: [19][8D][44][68][FC][AD][20][33]
105239515 : Rx: [10][19][EA][8F][0E][1E][FF][34]
105239750 : Rx: [19][8E][44][17][FD][AF][20][33]
105240015 : Rx: [10][19][EC][93][2A][1E][FF][34]
105240265 : Rx: [F0][00][00][00][00][00][00][00]
105240515 : Rx: [10][19][EE][97][2A][1E][FF][34]
105240750 : Rx: [19][8F][44][C2][FD][AB][20][33]
105241000 : Rx: [10][19][F0][9A][0E][1E][FF][34]
105241265 : Rx: [19][90][44][70][FE][AE][20][33]
105241515 : Rx: [10][19][F2][9E][0E][1E][FF][34]
105241765 : Rx: [19][91][44][1E][FF][AE][20][33]
105242015 : Rx: [10][19][F4][A2][2A][1E][FF][34]
105242250 : Rx fail
105242515 : Rx fail
105242765 : Rx: [19][93][44][7E][00][B0][20][33]
105243015 : Rx fail
105243250 : Rx: [19][94][44][31][01][B3][20][33]
105243515 : Rx: [10][19][FA][AD][61][1E][FF][34]
105243765 : Rx: [19][95][46][E0][01][AF][20][33]
105244015 : Rx: [10][19][FC][B0][2A][1E][FF][34]
105244265 : Rx: [19][96][46][8D][02][AD][20][33]
105244515 : Rx: [10][19][FE][B4][9F][1D][FF][34]
105244765 : Rx: [19][97][46][42][03][B5][20][33]
105245015 : Rx: [10][19][00][B8][2A][1E][FF][34]
105245250 : Rx: [19][98][45][08][04][C6][20][33]
105245500 : Rx: [10][19][02][BC][08][1F][FF][34]
105245750 : Rx: [19][99][45][C5][04][BD][20][33]
105246000 : Rx: [10][19][04][C0][E6][1F][FF][34]
105246265 : Rx: [19][9A][45][85][05][C0][20][33]
105246515 : Rx: [10][19][06][C4][A9][20][FF][34]
105246750 : Rx: [19][9B][44][54][06][CF][20][33]
105247000 : Rx: [10][19][08][C8][34][21][FF][34]
105247250 : Rx: [19][9C][44][29][07][D5][20][33]
105247515 : Rx: [10][19][0A][CC][DA][21][FF][34]
105247765 : Rx: [19][9D][44][F4][07][CB][20][33]
