*** New Session***
25-7-2018 15:50:14
Product Name: Flux -30
25002187 : Rx: [F0][00][00][00][00][00][00][00]
25002437 : Rx: [10][19][27][B7][58][0D][FF][34]
25002687 : Rx: [19][97][1D][A7][4C][31][20][33]
25002937 : Rx: [10][19][29][B9][AC][0D][FF][34]
25003187 : Rx: [19][98][1D][D8][4C][31][20][33]
25003421 : Rx fail
25003671 : Rx fail
25003937 : Rx: [10][19][2D][BC][C7][0D][FF][34]
25004187 : Rx: [19][9A][1D][49][4D][38][20][33]
25004437 : Rx: [10][19][2F][BE][3C][0D][FF][34]
25004687 : Rx: [19][9B][1D][49][4D][00][20][33]
25004937 : Rx: [10][19][31][BF][AC][0D][FF][34]
25005187 : Rx: [19][9C][1D][7A][4D][31][20][33]
25005437 : Rx: [10][19][33][C1][58][0D][FF][34]
25005687 : Rx: [19][9D][1E][B8][4D][3E][20][33]
25005937 : Rx: [10][19][35][C3][FF][0D][FF][34]
25006187 : Rx: [19][9E][1E][EE][4D][36][20][33]
25006437 : Rx fail
25006687 : Rx: [19][9F][1E][27][4E][39][20][33]
25006937 : Rx: [10][19][39][C6][36][0E][FF][34]
25007187 : Rx: [19][A0][1E][64][4E][3D][20][33]
25007437 : Rx: [10][19][3B][C8][36][0E][FF][34]
25007687 : Rx: [19][A1][1E][A3][4E][3F][20][33]
25007937 : Rx: [10][19][3D][CA][8A][0E][FF][34]
25008187 : Rx fail
25008437 : Rx: [10][19][3F][CB][52][0E][FF][34]
25008687 : Rx fail
25008937 : Rx: [10][19][41][CD][36][0E][FF][34]
25009187 : Rx: [19][A4][20][52][4F][34][20][33]
25009437 : Rx: [10][19][43][CF][A6][0E][FF][34]
25009687 : Rx: [19][A5][20][93][4F][41][20][33]
25009937 : Rx: [10][19][45][D1][6E][0E][FF][34]
25010187 : Rx: [50][FF][FF][01][59][00][54][0B]
25010437 : Rx: [50][FF][FF][01][59][00][54][0B]
25010687 : Rx: [19][A6][20][D1][4F][3E][20][33]
25010937 : Rx: [10][19][49][D4][8A][0E][FF][34]
25011187 : Rx: [19][A7][20][11][50][40][20][33]
25011437 : Rx: [10][19][4B][D6][8A][0E][FF][34]
25011687 : Rx: [19][A8][20][4D][50][3C][20][33]
25011937 : Rx: [10][19][4D][D8][52][0E][FF][34]
25012187 : Rx: [19][A9][21][88][50][3B][20][33]
25012437 : Rx fail
25012687 : Rx: [19][AA][21][C3][50][3B][20][33]
25012937 : Rx: [10][19][51][DB][6E][0E][FF][34]
25013187 : Rx fail
25013437 : Rx: [19][AB][21][06][51][43][20][33]
25013687 : Rx: [19][AC][21][41][51][3B][20][33]
25013937 : Rx: [10][19][55][DF][4C][0F][FF][34]
25014187 : Rx: [19][AD][21][88][51][47][20][33]
25014437 : Rx: [10][19][57][E2][15][0F][FF][34]
25014687 : Rx: [19][AE][21][D3][51][4B][20][33]
25014937 : Rx: [10][19][59][E3][BB][0F][FF][34]
25015187 : Rx: [19][AF][21][0E][52][3B][20][33]
25015437 : Rx fail
25015687 : Rx fail
25015921 : Rx fail
25016187 : Rx: [19][B1][22][87][52][3E][20][33]
25016437 : Rx: [10][19][5F][E8][4C][0F][FF][34]
25016687 : Rx: [19][B2][22][CA][52][43][20][33]
25016937 : Rx: [10][19][61][EA][DD][0E][FF][34]
25017187 : Rx: [19][B3][22][03][53][39][20][33]
25017437 : Rx: [10][19][63][EC][30][0F][FF][34]
25017687 : Rx: [19][B4][22][42][53][3F][20][33]
25017937 : Rx: [10][19][65][EE][F9][0E][FF][34]
25018187 : Rx: [19][B5][22][84][53][42][20][33]
25018437 : Rx: [10][19][67][F0][30][0F][FF][34]
25018687 : Rx: [F0][00][00][00][00][00][00][00]
25018937 : Rx: [10][19][69][F2][15][0F][FF][34]
25019187 : Rx: [19][B6][22][C5][53][41][20][33]
25019437 : Rx: [10][19][6B][F3][F9][0E][FF][34]
25019687 : Rx: [19][B7][22][06][54][41][20][33]
25019937 : Rx: [10][19][6D][F5][F9][0E][FF][34]
25020187 : Rx: [19][B8][22][47][54][41][20][33]
25020437 : Rx: [10][19][6F][F7][15][0F][FF][34]
25020687 : Rx: [19][B9][22][88][54][41][20][33]
25020937 : Rx: [10][19][71][F9][15][0F][FF][34]
25021187 : Rx: [19][BA][22][CB][54][43][20][33]
25021437 : Rx: [10][19][73][FB][4C][0F][FF][34]
25021687 : Rx: [19][BB][22][0E][55][43][20][33]
25021937 : Rx: [10][19][75][FD][84][0F][FF][34]
25022187 : Rx: [19][BC][22][4F][55][41][20][33]
25022437 : Rx: [10][19][77][FF][4C][0F][FF][34]
25022687 : Rx: [19][BD][22][97][55][48][20][33]
25022937 : Rx: [10][19][79][00][BB][0F][FF][34]
25023187 : Rx: [19][BE][22][D7][55][40][20][33]
25023437 : Rx: [10][19][7B][02][D7][0F][FF][34]
25023687 : Rx: [19][BF][22][20][56][49][20][33]
25023937 : Rx: [10][19][7D][04][68][0F][FF][34]
25024187 : Rx: [19][C0][22][5C][56][3C][20][33]
25024437 : Rx: [10][19][7F][06][D7][0F][FF][34]
25024687 : Rx: [19][C1][23][9D][56][41][20][33]
25024937 : Rx: [10][19][81][08][84][0F][FF][34]
25025187 : Rx: [19][C2][23][E5][56][48][20][33]
25025437 : Rx: [10][19][83][0A][D7][0F][FF][34]
25025687 : Rx: [19][C3][23][26][57][41][20][33]
25025937 : Rx: [10][19][85][0C][0F][10][FF][34]
25026187 : Rx: [19][C4][23][72][57][4C][20][33]
25026437 : Rx: [10][19][87][0E][F3][0F][FF][34]
25026687 : Rx: [51][FF][02][14][87][9E][5C][33]
25026937 : Rx: [51][FF][02][14][87][9E][5C][33]
25027187 : Rx: [19][C5][23][B8][57][46][20][33]
25027437 : Rx: [10][19][8B][13][62][10][FF][34]
25027687 : Rx fail
25027937 : Rx: [10][19][8D][15][46][10][FF][34]
25028187 : Rx: [19][C7][24][4F][58][4A][20][33]
25028437 : Rx: [10][19][8F][16][46][10][FF][34]
25028687 : Rx fail
25028937 : Rx fail
