*** New Session***
31-7-2018 08:19:13
Product Name: KickR -30
59015156 : Rx: [19][21][FF][67][27][4B][00][30]
59015406 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59015656 : Rx: [10][19][B6][BB][00][21][FF][3C]
59015906 : Rx: [10][19][B7][BE][1F][21][FF][3C]
59016156 : Rx: [1A][FB][FB][29][45][AC][90][30]
59016406 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59016656 : Rx: [10][19][BA][C4][5F][21][FF][3C]
59016906 : Rx: [10][19][BB][C6][A3][21][FF][3C]
59017156 : Rx: [19][29][FF][6B][2A][4D][00][30]
59017406 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59017656 : Rx: [10][19][BE][CD][93][21][FF][3C]
59017906 : Rx: [10][19][BF][CF][B3][21][FF][3C]
59018156 : Rx: [1A][03][03][83][55][C2][94][30]
59018406 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59018656 : Rx fail
59018906 : Rx: [10][19][C3][D8][C9][22][FF][3C]
59019156 : Rx: [19][31][FF][D8][2D][51][00][30]
59019406 : Rx: [11][FF][FF][DB][FF][7F][00][30]
59019656 : Rx: [10][19][C6][DF][F2][22][FF][3C]
59019906 : Rx: [10][19][C7][E1][F0][22][FF][3C]
59020156 : Rx: [1A][0B][0B][4D][65][F5][98][30]
